monkey_id,pick_date,code,name,market,close
0,2026-08-07,6890,來億-KY,TWSE,173.0
0,2026-08-07,5438,東友,OTC,16.85
0,2026-08-07,6023,元大期貨,OTC,86.7
0,2026-08-07,9945,潤泰新,TWSE,26.75
0,2026-08-07,3379,彬台,OTC,29.95
1,2026-08-07,6969,成信實業*-創,TWSE,35.5
1,2026-08-07,3176,基亞,OTC,33.7
1,2026-08-07,3406,玉晶光,TWSE,546.0
1,2026-08-07,3687,歐買尬,OTC,65.7
1,2026-08-07,6971,惠民實業,OTC,25.5
2,2026-08-07,6213,聯茂,TWSE,389.0
2,2026-08-07,4999,鑫禾,TWSE,18.35
2,2026-08-07,2617,台航,TWSE,28.9
2,2026-08-07,2461,光群雷,TWSE,17.35
2,2026-08-07,7750,新代,TWSE,2330.0
3,2026-08-07,2707,晶華,TWSE,179.5
3,2026-08-07,1733,五鼎,TWSE,32.0
3,2026-08-07,7556,意德士科技,OTC,223.0
3,2026-08-07,3008,大立光,TWSE,4385.0
3,2026-08-07,4556,旭然,OTC,83.0
4,2026-08-07,6246,臺龍,OTC,12.3
4,2026-08-07,3221,台嘉碩,OTC,46.15
4,2026-08-07,6272,驊陞,TWSE,24.25
4,2026-08-07,6411,晶焱,OTC,76.6
4,2026-08-07,7827,漢康-KY創,TWSE,156.0
5,2026-08-07,8091,翔名,OTC,225.0
5,2026-08-07,2030,彰源,TWSE,18.6
5,2026-08-07,2612,中航,TWSE,55.0
5,2026-08-07,3031,佰鴻,TWSE,22.7
5,2026-08-07,2340,台亞,TWSE,31.75
6,2026-08-07,5434,崇越,TWSE,499.0
6,2026-08-07,5209,新鼎,OTC,157.5
6,2026-08-07,6561,是方,OTC,328.5
6,2026-08-07,6203,海韻電,OTC,61.0
6,2026-08-07,4533,協易機,OTC,24.6
7,2026-08-07,5243,乙盛-KY,TWSE,87.1
7,2026-08-07,2915,潤泰全,TWSE,51.9
7,2026-08-07,4540,全球傳動,TWSE,60.0
7,2026-08-07,6212,理銘,OTC,29.35
7,2026-08-07,1784,訊聯,OTC,60.2
8,2026-08-07,5251,天鉞電,OTC,25.85
8,2026-08-07,2239,英利-KY,TWSE,19.65
8,2026-08-07,4939,亞電,OTC,60.8
8,2026-08-07,6767,台微醫,OTC,24.7
8,2026-08-07,4590,富田-創,TWSE,83.1
9,2026-08-07,3059,華晶科,TWSE,40.15
9,2026-08-07,2924,宏太-KY,OTC,16.95
9,2026-08-07,7716,昱臺國際,OTC,23.95
9,2026-08-07,9939,宏全,TWSE,144.5
9,2026-08-07,5272,笙科,OTC,17.95
