monkey_id,pick_date,code,name,market,close
0,2025-05-09,6792,詠業科技股份有限公司,TWSE,49.5
0,2025-05-09,4557,永新控股股份有限公司,TWSE,95.29
0,2025-05-09,6906,現觀科技股份有限公司,TWSE,137.9
0,2025-05-09,2457,飛宏科技股份有限公司,TWSE,25.9
0,2025-05-09,6184,大豐有線電視股份有限公司,TWSE,47.72
1,2025-05-09,6616,特昇國際股份有限公司,OTC,10.45
1,2025-05-09,5546,永固集團股份有限公司,TWSE,28.12
1,2025-05-09,6958,日盛台駿國際租賃股份有限公司,TWSE,20.45
1,2025-05-09,3252,海灣國際開發(股)公司,OTC,19.9
1,2025-05-09,6415,矽力杰股份有限公司,TWSE,401.97
2,2025-05-09,5289,宜鼎國際股份有限公司,OTC,222.05
2,2025-05-09,1626,艾美特(開曼)國際有限公司,TWSE,12.5
2,2025-05-09,6903,巨漢系統科技股份有限公司,OTC,106.17
2,2025-05-09,8176,智捷科技股份有限公司,OTC,11.7
2,2025-05-09,1590,亞德客國際集團,TWSE,864.3
3,2025-05-09,2705,六福開發股份有限公司,TWSE,18.5
3,2025-05-09,5603,陸海股份有限公司,OTC,21.23
3,2025-05-09,2476,鉅祥企業股份有限公司,TWSE,68.87
3,2025-05-09,8415,大成國際鋼鐵股份有限公司,OTC,30.53
3,2025-05-09,6418,詠昇電子股份有限公司,OTC,17.54
4,2025-05-09,8102,傑霖科技股份有限公司,OTC,77.77
4,2025-05-09,6841,長佳智能股份有限公司,OTC,70.14
4,2025-05-09,2247,汎德永業汽車股份有限公司,TWSE,274.75
4,2025-05-09,2882,國泰金融控股股份有限公司,TWSE,50.55
4,2025-05-09,2362,藍天電腦股份有限公司,TWSE,43.26
5,2025-05-09,2228,劍麟股份有限公司,TWSE,86.84
5,2025-05-09,2724,藝舍國際創新股份有限公司,OTC,25.5
5,2025-05-09,4736,泰博科技股份有限公司,TWSE,118.02
5,2025-05-09,3357,西北臺慶科技股份有限公司,OTC,98.31
5,2025-05-09,5351,鈺創科技股份有限公司,OTC,27.4
6,2025-05-09,6680,鑫創電子股份有限公司,OTC,74.97
6,2025-05-09,4163,鐿鈦科技股份有限公司,OTC,102.56
6,2025-05-09,5285,界霖科技股份有限公司,TWSE,42.87
6,2025-05-09,1294,漢田生技股份有限公司,OTC,58.75
6,2025-05-09,8111,立碁電子工業股份有限公司,OTC,46.97
7,2025-05-09,8059,凱碩科技股份有限公司,OTC,27.5
7,2025-05-09,2516,新亞建設開發股份有限公司,TWSE,19.2
7,2025-05-09,4973,廣穎電通股份有限公司,OTC,23.89
7,2025-05-09,2640,台灣大車隊股份有限公司,OTC,128.05
7,2025-05-09,3227,原相科技股份有限公司,OTC,206.04
8,2025-05-09,2359,所羅門股份有限公司,TWSE,132.0
8,2025-05-09,6534,正瀚生技股份有限公司,TWSE,74.72
8,2025-05-09,2481,強茂股份有限公司,TWSE,42.4
8,2025-05-09,6438,迅得機械股份有限公司,TWSE,152.88
8,2025-05-09,2337,旺宏電子股份有限公司,TWSE,20.25
9,2025-05-09,4995,晶達光電股份有限公司,OTC,52.31
9,2025-05-09,1444,力麗企業股份有限公司,TWSE,7.69
9,2025-05-09,3057,喬鼎資訊股份有限公司,TWSE,13.04
9,2025-05-09,4433,興采實業股份有限公司,OTC,27.12
9,2025-05-09,2409,友達光電股份有限公司,TWSE,13.16
