monkey_id,pick_date,code,name,market,close
0,2025-03-21,3073,天方能源科技股份有限公司,OTC,40.38
0,2025-03-21,1617,榮星電線工業股份有限公司,TWSE,17.33
0,2025-03-21,3052,夆典科技開發股份有限公司,TWSE,11.99
0,2025-03-21,3591,艾笛森光電股份有限公司,TWSE,23.79
0,2025-03-21,3438,台灣類比科技股份有限公司,OTC,57.82
1,2025-03-21,2355,敬鵬工業股份有限公司,TWSE,34.61
1,2025-03-21,4513,福裕事業股份有限公司,OTC,30.85
1,2025-03-21,2420,新巨企業股份有限公司,TWSE,60.1
1,2025-03-21,6021,美好證券股份有限公司,OTC,21.16
1,2025-03-21,5315,光聯科技股份有限公司,OTC,20.03
2,2025-03-21,6180,遊戲橘子數位科技股份有限公司,OTC,69.13
2,2025-03-21,3531,先益電子工業股份有限公司,OTC,26.43
2,2025-03-21,7732,金興精密工業股份有限公司,TWSE,40.74
2,2025-03-21,4190,佐登妮絲集團股份有限公司,TWSE,43.43
2,2025-03-21,5202,力新國際科技股份有限公司,OTC,25.4
3,2025-03-21,3373,熱映光電股份有限公司,OTC,21.64
3,2025-03-21,6541,泰福生技股份有限公司,TWSE,72.0
3,2025-03-21,2115,六暉控股股份有限公司,TWSE,27.31
3,2025-03-21,1337,亞洲塑膠再生資源控股有限公司,TWSE,6.54
3,2025-03-21,3706,神達控股股份有限公司,TWSE,56.02
4,2025-03-21,2363,矽統科技股份有限公司,TWSE,60.55
4,2025-03-21,6163,華電聯網股份有限公司,OTC,23.36
4,2025-03-21,6597,立誠光電股份有限公司,OTC,133.13
4,2025-03-21,1264,德麥食品股份有限公司,OTC,302.84
4,2025-03-21,911622,聚亨企業集團(泰國)大眾有限公司,TWSE,4.78
5,2025-03-21,1315,達新工業股份有限公司,TWSE,62.74
5,2025-03-21,6431,光麗生技控股股份有限公司,TWSE,19.4
5,2025-03-21,8916,光隆實業股份有限公司,OTC,54.82
5,2025-03-21,6807,峰源集團股份有限公司,TWSE,68.78
5,2025-03-21,4728,雙美生物科技股份有限公司,OTC,360.58
6,2025-03-21,1460,宏遠興業股份有限公司,TWSE,7.71
6,2025-03-21,910322,康師傅控股有限公司,TWSE,24.49
6,2025-03-21,1453,大將開發股份有限公司,TWSE,17.09
6,2025-03-21,8024,佑華微電子股份有限公司,OTC,16.35
6,2025-03-21,9919,康那香企業股份有限公司,TWSE,18.58
7,2025-03-21,2258,鴻華先進科技股份有限公司,TWSE,49.6
7,2025-03-21,8921,沈氏藝術印刷股份有限公司,OTC,27.01
7,2025-03-21,8277,商丞科技股份有限公司,OTC,12.0
7,2025-03-21,5439,高技企業股份有限公司,OTC,183.36
7,2025-03-21,2486,一詮精密工業股份有限公司,TWSE,108.12
8,2025-03-21,5263,智崴資訊科技股份有限公司,OTC,113.34
8,2025-03-21,911608,明輝環球企業有限公司,TWSE,3.43
8,2025-03-21,6516,勤崴國際科技股份有限公司,OTC,72.02
8,2025-03-21,2012,春雨工廠股份有限公司,TWSE,24.05
8,2025-03-21,6248,沛波鋼鐵股份有限公司,OTC,26.52
9,2025-03-21,8935,邦泰複合材料股份有限公司,OTC,19.7
9,2025-03-21,8423,保綠資源股份有限公司,OTC,19.28
9,2025-03-21,2101,南港輪胎股份有限公司,TWSE,40.79
9,2025-03-21,5488,松普科技股份有限公司,OTC,11.2
9,2025-03-21,8937,合騏工業股份有限公司,OTC,43.85
