monkey_id,pick_date,code,name,market,close
0,2025-10-23,6994,富威電力股份有限公司,TWSE,91.0
0,2025-10-23,6855,數泓科技股份有限公司,OTC,116.0
0,2025-10-23,6449,鈺邦科技股份有限公司,TWSE,193.58
0,2025-10-23,3073,天方能源科技股份有限公司,OTC,36.9
0,2025-10-23,1256,鮮活控股股份有限公司,TWSE,153.5
1,2025-10-23,4956,光鋐科技股份有限公司,TWSE,19.25
1,2025-10-23,3293,鈊象電子股份有限公司,OTC,720.65
1,2025-10-23,3465,進泰電子科技股份有限公司,OTC,45.0
1,2025-10-23,6547,高端疫苗生物製劑股份有限公司,OTC,37.4
1,2025-10-23,2536,宏普建設股份有限公司,TWSE,23.96
2,2025-10-23,6576,逸達生物科技股份有限公司,OTC,78.9
2,2025-10-23,3209,全科科技股份有限公司,TWSE,31.2
2,2025-10-23,3064,泰偉電子股份有限公司,OTC,47.95
2,2025-10-23,6855,數泓科技股份有限公司,OTC,116.0
2,2025-10-23,4163,鐿鈦科技股份有限公司,OTC,98.21
3,2025-10-23,5489,彩富電子股份有限公司,OTC,40.0
3,2025-10-23,1342,八貫企業股份有限公司,TWSE,78.74
3,2025-10-23,2729,瓦城泰統股份有限公司,OTC,183.5
3,2025-10-23,9942,茂順密封元件科技股份有限公司,TWSE,108.0
3,2025-10-23,6951,青新環境工程股份有限公司,TWSE,71.2
4,2025-10-23,3067,全域股份有限公司,OTC,18.3
4,2025-10-23,2353,宏碁股份有限公司,TWSE,30.01
4,2025-10-23,8087,麗升能源科技股份有限公司,OTC,33.85
4,2025-10-23,2949,欣新網股份有限公司,OTC,74.0
4,2025-10-23,911608,明輝環球企業有限公司,TWSE,2.87
5,2025-10-23,3130,一零四資訊科技股份有限公司,TWSE,225.5
5,2025-10-23,6906,現觀科技股份有限公司,TWSE,104.5
5,2025-10-23,1312,國喬石油化學股份有限公司,TWSE,10.95
5,2025-10-23,1342,八貫企業股份有限公司,TWSE,78.74
5,2025-10-23,6735,美達科技股份有限公司,OTC,69.5
6,2025-10-23,8084,巨虹電子股份有限公司,OTC,52.1
6,2025-10-23,8354,冠好科技股份有限公司,OTC,15.5
6,2025-10-23,2462,台灣良得電子股份有限公司,TWSE,23.2
6,2025-10-23,3093,台灣港建股份有限公司,OTC,24.96
6,2025-10-23,4904,遠傳電信股份有限公司,TWSE,91.1
7,2025-10-23,6175,立敦科技股份有限公司,OTC,49.35
7,2025-10-23,8390,金益鼎企業股份有限公司,OTC,65.8
7,2025-10-23,6276,安鈦克科技股份有限公司,OTC,42.6
7,2025-10-23,7765,中華資安國際股份有限公司,TWSE,280.71
7,2025-10-23,2543,皇昌營造股份有限公司,TWSE,70.4
8,2025-10-23,8937,合騏工業股份有限公司,OTC,39.75
8,2025-10-23,6796,晉弘科技股份有限公司,TWSE,94.7
8,2025-10-23,6958,日盛台駿國際租賃股份有限公司,TWSE,17.9
8,2025-10-23,3548,兆利科技工業股份有限公司,OTC,102.0
8,2025-10-23,2035,唐榮鐵工廠股份有限公司,OTC,28.45
9,2025-10-23,9103,美德向邦醫療國際股份有限公司,TWSE,4.87
9,2025-10-23,2392,正崴精密工業股份有限公司,TWSE,50.3
9,2025-10-23,5460,同協電子股份有限公司,OTC,14.45
9,2025-10-23,1229,聯華實業控股股份有限公司,TWSE,45.88
9,2025-10-23,7402,邑錡股份有限公司,OTC,136.0
