monkey_id,pick_date,code,name,market,close
0,2025-12-05,4123,晟德大藥廠股份有限公司,OTC,37.65
0,2025-12-05,2308,台達電子工業股份有限公司,TWSE,973.91
0,2025-12-05,6441,廣錠科技股份有限公司,OTC,23.2
0,2025-12-05,8103,瀚荃股份有限公司,TWSE,87.88
0,2025-12-05,2495,普安科技股份有限公司,TWSE,26.1
1,2025-12-05,6191,精成科技股份有限公司,TWSE,121.5
1,2025-12-05,2233,宇隆科技股份有限公司,TWSE,195.0
1,2025-12-05,3508,位速科技股份有限公司,OTC,21.4
1,2025-12-05,6598,Applied BioCode Corporation,TWSE,21.55
1,2025-12-05,4585,達明機器人股份有限公司,TWSE,365.45
2,2025-12-05,2887,台新新光金融控股股份有限公司,TWSE,19.25
2,2025-12-05,5438,東友科技股份有限公司,OTC,20.75
2,2025-12-05,8222,寶一科技股份有限公司,TWSE,41.3
2,2025-12-05,6616,特昇國際股份有限公司,OTC,9.49
2,2025-12-05,4534,慶騰精密科技股份有限公司,OTC,15.4
3,2025-12-05,8068,全達國際股份有限公司,OTC,18.3
3,2025-12-05,2428,興勤電子工業股份有限公司,TWSE,182.0
3,2025-12-05,1531,高林股份有限公司,TWSE,11.75
3,2025-12-05,3492,長盛科技股份有限公司,OTC,27.25
3,2025-12-05,3346,麗清科技股份有限公司,TWSE,19.2
4,2025-12-05,6020,大展證券股份有限公司,OTC,18.53
4,2025-12-05,5457,宣德科技股份有限公司,OTC,42.3
4,2025-12-05,3711,日月光投資控股股份有限公司,TWSE,228.91
4,2025-12-05,8349,恒耀國際股份有限公司,OTC,43.11
4,2025-12-05,8261,富鼎先進電子股份有限公司,TWSE,89.8
5,2025-12-05,6742,澤米科技股份有限公司,TWSE,46.75
5,2025-12-05,5381,光譜電工股份有限公司,OTC,27.82
5,2025-12-05,5299,杰力科技股份有限公司,OTC,72.6
5,2025-12-05,6877,鏵友益科技股份有限公司,OTC,87.8
5,2025-12-05,2476,鉅祥企業股份有限公司,TWSE,86.5
6,2025-12-05,6591,動力科技股份有限公司,TWSE,71.11
6,2025-12-05,3218,大學光學科技股份有限公司,OTC,139.25
6,2025-12-05,1338,廣華控股有限公司,TWSE,20.6
6,2025-12-05,5439,高技企業股份有限公司,OTC,338.5
6,2025-12-05,6118,建達國際股份有限公司,OTC,18.6
7,2025-12-05,2467,志聖工業股份有限公司,TWSE,204.06
7,2025-12-05,4972,湯石照明科技股份有限公司,OTC,18.4
7,2025-12-05,3041,揚智科技股份有限公司,TWSE,25.4
7,2025-12-05,2028,威致鋼鐵工業股份有限公司,TWSE,16.39
7,2025-12-05,3491,昇達科技股份有限公司,OTC,529.0
8,2025-12-05,3252,海灣國際開發(股)公司,OTC,19.2
8,2025-12-05,5269,祥碩科技股份有限公司,TWSE,1225.0
8,2025-12-05,5314,世紀民生科技股份有限公司,OTC,104.5
8,2025-12-05,6811,宏碁資訊服務股份有限公司,OTC,199.25
8,2025-12-05,6831,邁&#33834;科技股份有限公司,TWSE,239.22
9,2025-12-05,3372,台灣典範半導體股份有限公司,OTC,16.95
9,2025-12-05,6785,昱展新藥生技股份有限公司,OTC,281.0
9,2025-12-05,8390,金益鼎企業股份有限公司,OTC,81.4
9,2025-12-05,2349,錸德科技股份有限公司,TWSE,10.85
9,2025-12-05,4106,雃博股份有限公司,TWSE,21.85
