monkey_id,pick_date,code,name,market,close
0,2026-09-04,6231,系微,OTC,212.0
0,2026-09-04,6951,青新-創,TWSE,71.0
0,2026-09-04,6465,威潤,OTC,46.0
0,2026-09-04,2365,昆盈,TWSE,29.15
0,2026-09-04,4160,訊聯基因,OTC,39.4
1,2026-09-04,5529,鉅陞,OTC,24.4
1,2026-09-04,2722,夏都,TWSE,21.45
1,2026-09-04,2227,裕日車,TWSE,47.65
1,2026-09-04,2929,淘帝-KY,TWSE,5.77
1,2026-09-04,8067,志旭,OTC,11.75
2,2026-09-04,8473,山林水,TWSE,45.7
2,2026-09-04,3205,佰研,OTC,46.2
2,2026-09-04,8409,商之器,OTC,18.05
2,2026-09-04,3056,富華新,TWSE,14.1
2,2026-09-04,2454,聯發科,TWSE,4415.0
3,2026-09-04,3147,大綜,OTC,223.5
3,2026-09-04,5244,弘凱,TWSE,35.0
3,2026-09-04,8473,山林水,TWSE,45.7
3,2026-09-04,6165,浪凡,TWSE,48.9
3,2026-09-04,2109,華豐,TWSE,14.8
4,2026-09-04,8409,商之器,OTC,18.05
4,2026-09-04,2834,臺企銀,TWSE,17.0
4,2026-09-04,4588,玖鼎電力,TWSE,51.9
4,2026-09-04,2431,聯昌,TWSE,10.1
4,2026-09-04,3122,笙泉,OTC,25.2
5,2026-09-04,2633,台灣高鐵,TWSE,26.1
5,2026-09-04,2015,豐興,TWSE,64.9
5,2026-09-04,3178,公準,OTC,62.3
5,2026-09-04,2855,統一證,TWSE,50.7
5,2026-09-04,4924,欣厚-KY,OTC,11.95
6,2026-09-04,2450,神腦,TWSE,28.25
6,2026-09-04,6958,日盛台駿,TWSE,17.35
6,2026-09-04,6804,明係,OTC,18.2
6,2026-09-04,2362,藍天,TWSE,49.3
6,2026-09-04,3416,融程電,TWSE,172.5
7,2026-09-04,3312,弘憶股,TWSE,52.8
7,2026-09-04,3703,欣陸,TWSE,20.0
7,2026-09-04,7747,昕奇雲端,OTC,114.5
7,2026-09-04,5538,東明-KY,TWSE,36.9
7,2026-09-04,4711,永純,OTC,16.6
8,2026-09-04,6485,點序,OTC,62.0
8,2026-09-04,2466,冠西電,TWSE,97.2
8,2026-09-04,7820,立盈,OTC,118.0
8,2026-09-04,6692,進能服,OTC,23.05
8,2026-09-04,3310,佳穎,OTC,68.8
9,2026-09-04,4972,湯石照明,OTC,16.6
9,2026-09-04,8462,柏文,TWSE,165.5
9,2026-09-04,3563,牧德,TWSE,693.0
9,2026-09-04,2308,台達電,TWSE,1825.0
9,2026-09-04,1339,昭輝,TWSE,43.0
