monkey_id,pick_date,code,name,market,close
0,2025-04-11,3501,維熹科技股份有限公司,TWSE,50.89
0,2025-04-11,3689,湧德電子股份有限公司,OTC,69.09
0,2025-04-11,2534,宏盛建設股份有限公司,TWSE,20.01
0,2025-04-11,8028,昇陽國際半導體股份有限公司,TWSE,101.54
0,2025-04-11,6516,勤崴國際科技股份有限公司,OTC,63.14
1,2025-04-11,7723,築間餐飲事業股份有限公司,OTC,57.2
1,2025-04-11,6894,衛司特科技股份有限公司,OTC,156.31
1,2025-04-11,3105,穩懋半導體股份有限公司,OTC,77.28
1,2025-04-11,2348,海悅國際開發股份有限公司,TWSE,111.85
1,2025-04-11,2061,風青實業股份有限公司,OTC,16.55
2,2025-04-11,4406,新昕纖維股份有限公司,OTC,8.55
2,2025-04-11,1435,中福國際(股)公司,TWSE,32.0
2,2025-04-11,2108,南帝化學工業股份有限公司,TWSE,25.93
2,2025-04-11,4502,健信科技工業股份有限公司,OTC,17.25
2,2025-04-11,2851,中央再保險股份有限公司,TWSE,22.28
3,2025-04-11,1453,大將開發股份有限公司,TWSE,12.77
3,2025-04-11,6266,泰詠電子股份有限公司,OTC,26.44
3,2025-04-11,2201,裕隆汽車製造股份有限公司,TWSE,34.34
3,2025-04-11,2454,聯發科技股份有限公司,TWSE,1324.52
3,2025-04-11,9921,巨大機械工業股份有限公司,TWSE,120.92
4,2025-04-11,9103,美德向邦醫療國際股份有限公司,TWSE,4.55
4,2025-04-11,8358,金居開發股份有限公司,OTC,42.23
4,2025-04-11,4535,至興精機股份有限公司,OTC,27.6
4,2025-04-11,6881,潤德室內裝修設計工程(股)公司,OTC,200.77
4,2025-04-11,4430,耀億工業股份有限公司,OTC,16.67
5,2025-04-11,2543,皇昌營造股份有限公司,TWSE,66.77
5,2025-04-11,3094,聯傑國際股份有限公司,TWSE,21.66
5,2025-04-11,6161,捷波資訊股份有限公司,OTC,38.02
5,2025-04-11,2801,彰化商業銀行股份有限公司,TWSE,16.09
5,2025-04-11,4173,久裕企業股份有限公司,OTC,20.44
6,2025-04-11,6229,研通科技股份有限公司,OTC,19.57
6,2025-04-11,6689,伊雲谷數位科技股份有限公司,TWSE,78.9
6,2025-04-11,6212,理銘開發股份有限公司,OTC,46.14
6,2025-04-11,3209,全科科技股份有限公司,TWSE,32.15
6,2025-04-11,6919,康霈生技股份有限公司,TWSE,59.4
7,2025-04-11,8099,大同世界科技股份有限公司,OTC,55.57
7,2025-04-11,9937,全國加油站股份有限公司,TWSE,59.96
7,2025-04-11,3551,世禾科技股份有限公司,OTC,91.49
7,2025-04-11,8481,政伸企業股份有限公司,TWSE,41.75
7,2025-04-11,5475,德宏工業股份有限公司,OTC,10.3
8,2025-04-11,6741,"91APP, Inc.",OTC,70.3
8,2025-04-11,6560,欣普羅光電股份有限公司,OTC,26.5
8,2025-04-11,6111,光聚晶電聯合股份有限公司,OTC,49.0
8,2025-04-11,4426,利勤實業股份有限公司,TWSE,11.35
8,2025-04-11,2836,高雄銀行股份有限公司,TWSE,10.46
9,2025-04-11,2947,振宇五金股份有限公司,OTC,71.06
9,2025-04-11,3419,譁裕實業股份有限公司,TWSE,14.4
9,2025-04-11,8183,台灣精星科技股份有限公司,OTC,28.21
9,2025-04-11,6026,福邦證券股份有限公司,OTC,9.97
9,2025-04-11,2476,鉅祥企業股份有限公司,TWSE,64.26
