monkey_id,pick_date,code,name,market,close
0,2025-09-26,1324,地球綜合工業股份有限公司,TWSE,10.9
0,2025-09-26,1313,聯成化學科技股份有限公司,TWSE,10.51
0,2025-09-26,6923,中台資源科技股份有限公司,TWSE,108.23
0,2025-09-26,2258,鴻華先進科技股份有限公司,TWSE,39.0
0,2025-09-26,8463,潤泰精密材料股份有限公司,TWSE,24.24
1,2025-09-26,3040,遠見科技股份有限公司,TWSE,65.0
1,2025-09-26,5905,南仁湖育樂股份有限公司,OTC,10.85
1,2025-09-26,5347,世界先進積體電路股份有限公司,OTC,98.66
1,2025-09-26,2070,精湛光學科技股份有限公司,OTC,36.82
1,2025-09-26,6885,全福生物科技股份有限公司,TWSE,31.75
2,2025-09-26,4754,國碳科技股份有限公司,OTC,36.53
2,2025-09-26,1717,長興材料工業股份有限公司,TWSE,39.39
2,2025-09-26,4190,佐登妮絲集團股份有限公司,TWSE,33.55
2,2025-09-26,6180,遊戲橘子數位科技股份有限公司,OTC,60.6
2,2025-09-26,5202,力新國際科技股份有限公司,OTC,19.6
3,2025-09-26,6179,亞通利大能源股份有限公司,OTC,31.55
3,2025-09-26,3632,研勤科技股份有限公司,OTC,10.0
3,2025-09-26,6230,尼得科超眾科技股份有限公司,TWSE,149.5
3,2025-09-26,3693,營邦企業股份有限公司,OTC,238.0
3,2025-09-26,4174,台灣浩鼎生技股份有限公司,OTC,50.7
4,2025-09-26,6596,寬宏藝術經紀股份有限公司,OTC,127.91
4,2025-09-26,8478,東哥企業股份有限公司,TWSE,222.0
4,2025-09-26,6585,鼎基先進材料股份有限公司,TWSE,97.32
4,2025-09-26,3388,崇越電通股份有限公司,OTC,60.33
4,2025-09-26,1527,鑽全實業股份有限公司,TWSE,32.7
5,2025-09-26,9918,欣欣天然氣股份有限公司,TWSE,39.45
5,2025-09-26,4968,立積電子股份有限公司,TWSE,143.0
5,2025-09-26,911608,明輝環球企業有限公司,TWSE,2.85
5,2025-09-26,2528,皇普建設股份有限公司,TWSE,27.01
5,2025-09-26,6016,康和綜合證券股份有限公司,OTC,12.9
6,2025-09-26,8042,臺灣金山電子工業股份有限公司,OTC,38.75
6,2025-09-26,1416,廣豐實業股份有限公司,TWSE,10.94
6,2025-09-26,3533,嘉澤端子工業股份有限公司,TWSE,1520.0
6,2025-09-26,1437,勤益投資控股股份有限公司,TWSE,30.35
6,2025-09-26,1419,新光紡織股份有限公司,TWSE,56.3
7,2025-09-26,3321,同泰電子科技股份有限公司,TWSE,13.0
7,2025-09-26,1604,聲寶股份有限公司,TWSE,23.33
7,2025-09-26,8016,矽創電子股份有限公司,TWSE,205.02
7,2025-09-26,6931,青松健康股份有限公司,TWSE,51.06
7,2025-09-26,7722,連加網路商業股份有限公司,TWSE,594.31
8,2025-09-26,6275,元山科技工業股份有限公司,OTC,43.7
8,2025-09-26,2024,志聯工業股份有限公司,TWSE,16.65
8,2025-09-26,5905,南仁湖育樂股份有限公司,OTC,10.85
8,2025-09-26,5515,建國工程股份有限公司,TWSE,22.19
8,2025-09-26,6486,互動國際數位股份有限公司,OTC,73.3
9,2025-09-26,6148,驊宏資通股份有限公司,OTC,45.61
9,2025-09-26,4609,唐鋒實業股份有限公司,OTC,7.47
9,2025-09-26,8067,志旭國際股份有限公司,OTC,12.3
9,2025-09-26,3021,鴻名企業股份有限公司,TWSE,17.22
9,2025-09-26,6212,理銘開發股份有限公司,OTC,41.8
