monkey_id,pick_date,code,name,market,close
0,2025-02-14,3686,達能科技股份有限公司,TWSE,18.4
0,2025-02-14,6005,群益金鼎證券股份有限公司,TWSE,24.75
0,2025-02-14,5351,鈺創科技股份有限公司,OTC,35.25
0,2025-02-14,8102,傑霖科技股份有限公司,OTC,76.87
0,2025-02-14,2537,聯上開發股份有限公司,TWSE,13.95
1,2025-02-14,3114,好德科技股份有限公司,OTC,24.04
1,2025-02-14,5880,合作金庫金融控股股份有限公司,TWSE,23.08
1,2025-02-14,8446,華研國際音樂股份有限公司,OTC,99.24
1,2025-02-14,8938,明安國際企業股份有限公司,OTC,67.97
1,2025-02-14,4533,協易機械工業股份有限公司,OTC,35.75
2,2025-02-14,6872,浩宇生醫股份有限公司,OTC,36.95
2,2025-02-14,6680,鑫創電子股份有限公司,OTC,85.46
2,2025-02-14,6189,豐藝電子股份有限公司,TWSE,57.52
2,2025-02-14,3707,漢磊科技股份有限公司,OTC,47.2
2,2025-02-14,5439,高技企業股份有限公司,OTC,123.89
3,2025-02-14,4923,力士科技股份有限公司,OTC,40.2
3,2025-02-14,6603,富強鑫精密工業股份有限公司,OTC,16.81
3,2025-02-14,2509,全坤建設開發股份有限公司,TWSE,16.0
3,2025-02-14,6669,緯穎科技服務股份有限公司,TWSE,1929.77
3,2025-02-14,8906,花王企業股份有限公司,OTC,31.01
4,2025-02-14,4114,健喬信元醫藥生技股份有限公司,OTC,29.78
4,2025-02-14,3218,大學光學科技股份有限公司,OTC,207.71
4,2025-02-14,1593,祺驊股份有限公司,OTC,31.98
4,2025-02-14,1527,鑽全實業股份有限公司,TWSE,42.95
4,2025-02-14,2063,世鎧精密股份有限公司,OTC,33.17
5,2025-02-14,6126,信音企業股份有限公司,OTC,27.28
5,2025-02-14,3038,全台晶像股份有限公司,TWSE,24.78
5,2025-02-14,2414,精技電腦股份有限公司,TWSE,34.77
5,2025-02-14,6183,關貿網路股份有限公司,TWSE,96.33
5,2025-02-14,6155,鈞寶電子工業股份有限公司,TWSE,23.79
6,2025-02-14,6664,群翊工業股份有限公司,OTC,217.33
6,2025-02-14,1587,吉茂精密股份有限公司,TWSE,35.58
6,2025-02-14,7708,全家國際餐飲股份有限公司,OTC,91.79
6,2025-02-14,4935,茂林光電科技(開曼)股份有限公司,TWSE,52.8
6,2025-02-14,8096,擎亞電子股份有限公司,OTC,70.15
7,2025-02-14,5511,德昌營造股份有限公司,OTC,59.5
7,2025-02-14,8227,巨有科技股份有限公司,OTC,169.62
7,2025-02-14,3680,家登精密工業股份有限公司,OTC,430.6
7,2025-02-14,2465,麗臺科技股份有限公司,TWSE,71.7
7,2025-02-14,2755,揚秦國際企業股份有限公司,OTC,117.9
8,2025-02-14,1808,潤隆建設股份有限公司,TWSE,37.69
8,2025-02-14,1103,嘉新水泥股份有限公司,TWSE,16.75
8,2025-02-14,2897,王道商業銀行股份有限公司,TWSE,9.3
8,2025-02-14,6598,Applied BioCode Corporation,TWSE,23.9
8,2025-02-14,6643,&#20870;星科技股份有限公司,OTC,780.02
9,2025-02-14,1423,利華羊毛工業股份有限公司,TWSE,33.41
9,2025-02-14,2201,裕隆汽車製造股份有限公司,TWSE,49.15
9,2025-02-14,2497,怡利電子工業股份有限公司,TWSE,59.07
9,2025-02-14,5538,開曼東明控股股份有限公司,TWSE,30.71
9,2025-02-14,6477,安集科技股份有限公司,TWSE,36.82
