monkey_id,pick_date,code,name,market,close
0,2026-06-18,2419,仲琦科技股份有限公司,TWSE,29.45
0,2026-06-18,6405,悅城科技股份有限公司,TWSE,71.5
0,2026-06-18,6616,特昇國際股份有限公司,OTC,9.53
0,2026-06-18,6292,迅德興業股份有限公司,OTC,66.01
0,2026-06-18,1435,中福國際(股)公司,TWSE,14.1
1,2026-06-18,4129,聯合骨科器材股份有限公司,OTC,90.9
1,2026-06-18,2618,長榮航空股份有限公司,TWSE,40.54
1,2026-06-18,4510,高鋒工業股份有限公司,OTC,45.3
1,2026-06-18,1102,亞洲水泥股份有限公司,TWSE,35.8
1,2026-06-18,5348,正能量智能股份有限公司,OTC,15.95
2,2026-06-18,3025,星通資訊股份有限公司,TWSE,71.0
2,2026-06-18,2633,台灣高速鐵路股份有限公司,TWSE,26.15
2,2026-06-18,6716,應廣科技股份有限公司,OTC,102.5
2,2026-06-18,1536,和大工業股份有限公司,TWSE,48.7
2,2026-06-18,6689,伊雲谷數位科技股份有限公司,TWSE,67.0
3,2026-06-18,1618,合機電線電纜股份有限公司,TWSE,41.8
3,2026-06-18,6141,柏承科技股份有限公司,TWSE,34.85
3,2026-06-18,6104,創惟科技股份有限公司,OTC,103.5
3,2026-06-18,5243,乙盛精密工業股份有限公司,TWSE,109.5
3,2026-06-18,4804,大略國際控股有限公司,OTC,3.27
4,2026-06-18,3189,景碩科技股份有限公司,TWSE,722.76
4,2026-06-18,3229,晟鈦股份有限公司,TWSE,45.75
4,2026-06-18,6612,應用奈米醫材科技股份有限公司,OTC,73.3
4,2026-06-18,3073,天方能源科技股份有限公司,OTC,21.2
4,2026-06-18,3531,先益電子工業股份有限公司,OTC,22.65
5,2026-06-18,2328,廣宇科技股份有限公司,TWSE,52.41
5,2026-06-18,9941,裕融企業股份有限公司,TWSE,81.4
5,2026-06-18,4513,福裕事業股份有限公司,OTC,17.45
5,2026-06-18,4416,三圓建設股份有限公司,OTC,10.0
5,2026-06-18,6195,詩肯股份有限公司,OTC,26.38
6,2026-06-18,2066,世德工業股份有限公司,OTC,64.7
6,2026-06-18,2248,華勝汽車電子股份有限公司,TWSE,56.3
6,2026-06-18,3041,揚智科技股份有限公司,TWSE,28.15
6,2026-06-18,3034,聯詠科技股份有限公司,TWSE,516.0
6,2026-06-18,3178,公準精密工業股份有限公司,OTC,65.6
7,2026-06-18,1795,美時化學製藥股份有限公司,TWSE,193.0
7,2026-06-18,6573,虹揚發展科技股份有限公司,TWSE,16.2
7,2026-06-18,2340,台亞半導體股份有限公司,TWSE,39.95
7,2026-06-18,5481,新華泰富股份有限公司,OTC,22.75
7,2026-06-18,1714,和桐化學股份有限公司,TWSE,20.35
8,2026-06-18,8071,能率網通股份有限公司,OTC,29.4
8,2026-06-18,6988,威力暘電子股份有限公司,TWSE,14.0
8,2026-06-18,2476,鉅祥企業股份有限公司,TWSE,125.0
8,2026-06-18,6965,中傑投資控股股份有限公司,TWSE,77.0
8,2026-06-18,8482,商億全球控股有限公司,TWSE,46.84
9,2026-06-18,7722,連加網路商業股份有限公司,TWSE,328.0
9,2026-06-18,3689,湧德電子股份有限公司,OTC,121.0
9,2026-06-18,1109,信大水泥股份有限公司,TWSE,14.65
9,2026-06-18,5364,力麗觀光開發股份有限公司,OTC,8.72
9,2026-06-18,5439,高技企業股份有限公司,OTC,332.5
