monkey_id,pick_date,code,name,market,close
0,2026-08-14,4908,前鼎,OTC,155.0
0,2026-08-14,5284,jpp-KY,TWSE,294.0
0,2026-08-14,8358,金居,OTC,428.5
0,2026-08-14,7709,榮田,OTC,71.4
0,2026-08-14,3040,遠見,TWSE,37.55
1,2026-08-14,9958,世紀鋼,TWSE,103.0
1,2026-08-14,6982,大井泵浦,OTC,48.65
1,2026-08-14,2433,互盛電,TWSE,41.85
1,2026-08-14,2886,兆豐金,TWSE,47.35
1,2026-08-14,4551,智伸科,TWSE,162.0
2,2026-08-14,8033,雷虎,TWSE,201.5
2,2026-08-14,1735,日勝化,TWSE,20.5
2,2026-08-14,6996,力領科技,OTC,174.0
2,2026-08-14,2414,精技,TWSE,53.3
2,2026-08-14,6115,鎰勝,TWSE,45.2
3,2026-08-14,6167,久正,OTC,10.4
3,2026-08-14,4188,安克,OTC,10.05
3,2026-08-14,3176,基亞,OTC,33.75
3,2026-08-14,2755,揚秦,OTC,104.5
3,2026-08-14,1809,中釉,TWSE,40.15
4,2026-08-14,2883,凱基金,TWSE,31.65
4,2026-08-14,3441,聯一光電,OTC,83.8
4,2026-08-14,3285,微端,OTC,36.85
4,2026-08-14,4562,穎漢,TWSE,32.6
4,2026-08-14,4966,譜瑞-KY,OTC,570.0
5,2026-08-14,3095,及成,OTC,37.5
5,2026-08-14,6240,松崗,OTC,20.6
5,2026-08-14,4989,榮科,TWSE,64.8
5,2026-08-14,7760,享溫馨,TWSE,33.0
5,2026-08-14,4588,玖鼎電力,TWSE,52.2
6,2026-08-14,5609,中菲行,OTC,77.4
6,2026-08-14,6906,現觀科,TWSE,73.7
6,2026-08-14,3712,永崴投控,TWSE,22.2
6,2026-08-14,2208,台船,TWSE,20.3
6,2026-08-14,6125,廣運,OTC,51.6
7,2026-08-14,3511,矽瑪,OTC,20.3
7,2026-08-14,2380,虹光,TWSE,19.65
7,2026-08-14,6875,國邑*,OTC,33.05
7,2026-08-14,5245,智晶,OTC,23.55
7,2026-08-14,6239,力成,TWSE,278.0
8,2026-08-14,3702,大聯大,TWSE,115.0
8,2026-08-14,8215,明基材,TWSE,24.6
8,2026-08-14,3018,隆銘綠能,TWSE,13.7
8,2026-08-14,2392,正崴,TWSE,43.05
8,2026-08-14,6166,凌華,TWSE,129.5
9,2026-08-14,6203,海韻電,OTC,60.1
9,2026-08-14,4541,晟田,OTC,73.9
9,2026-08-14,4906,正文,TWSE,36.3
9,2026-08-14,2836,高雄銀,TWSE,11.8
9,2026-08-14,3713,新晶投控,OTC,14.6
