monkey_id,pick_date,code,name,market,close
0,2026-08-28,6275,元山,OTC,45.7
0,2026-08-28,4137,麗豐-KY,TWSE,85.9
0,2026-08-28,5548,安倉,OTC,20.65
0,2026-08-28,6441,廣錠,OTC,21.25
0,2026-08-28,2328,廣宇,TWSE,46.6
1,2026-08-28,1309,台達化,TWSE,13.1
1,2026-08-28,6877,鏵友益,OTC,116.5
1,2026-08-28,8932,智通*,OTC,94.3
1,2026-08-28,4927,泰鼎-KY,TWSE,43.0
1,2026-08-28,6516,勤崴國際,OTC,58.3
2,2026-08-28,2493,揚博,TWSE,181.5
2,2026-08-28,2482,連宇,TWSE,16.0
2,2026-08-28,1810,和成,TWSE,25.25
2,2026-08-28,5283,禾聯碩,TWSE,51.9
2,2026-08-28,5905,南仁湖,OTC,7.79
3,2026-08-28,2850,新產,TWSE,160.5
3,2026-08-28,4416,三圓,OTC,14.05
3,2026-08-28,8342,益張,OTC,87.0
3,2026-08-28,6204,艾華,OTC,88.4
3,2026-08-28,3189,景碩,TWSE,899.0
4,2026-08-28,7747,昕奇雲端,OTC,113.5
4,2026-08-28,4577,達航科技,OTC,88.2
4,2026-08-28,3332,幸康,OTC,61.7
4,2026-08-28,5481,新華,OTC,20.8
4,2026-08-28,2013,中鋼構,TWSE,41.7
5,2026-08-28,3501,維熹,TWSE,39.5
5,2026-08-28,8016,矽創,TWSE,296.0
5,2026-08-28,8040,九暘,OTC,72.3
5,2026-08-28,1525,江申,TWSE,66.5
5,2026-08-28,8039,台虹,TWSE,343.5
6,2026-08-28,6530,創威,OTC,86.9
6,2026-08-28,8215,明基材,TWSE,26.2
6,2026-08-28,1460,宏遠,TWSE,6.62
6,2026-08-28,3043,科風,TWSE,21.1
6,2026-08-28,3580,友威科,OTC,82.3
7,2026-08-28,6264,富裔,OTC,6.06
7,2026-08-28,1907,永豐餘,TWSE,29.9
7,2026-08-28,2492,華新科,TWSE,313.5
7,2026-08-28,4173,久裕,OTC,17.4
7,2026-08-28,3577,泓格,OTC,114.0
8,2026-08-28,8109,博大,OTC,130.5
8,2026-08-28,4420,光明,OTC,36.8
8,2026-08-28,2379,瑞昱,TWSE,722.0
8,2026-08-28,1325,恆大,TWSE,26.3
8,2026-08-28,4510,高鋒,OTC,45.75
9,2026-08-28,1259,安心,OTC,62.7
9,2026-08-28,6144,得利影,OTC,13.1
9,2026-08-28,3169,亞信,OTC,102.0
9,2026-08-28,6515,穎崴,TWSE,6250.0
9,2026-08-28,4107,邦特,OTC,114.0
