pick_date,code,name,market,close,alpha120,beta120,d240h,rank,regime
2025-03-07,3712,永崴投資控股股份有限公司,TWSE,64.33,0.4755,0.471,-0.0907,6,0
2025-03-07,6285,啟碁科技股份有限公司,TWSE,140.62,0.4643,0.476,-0.0887,7,0
2025-03-07,8415,大成國際鋼鐵股份有限公司,OTC,36.07,0.3404,0.028,0.0,8,1
2025-03-07,2615,萬海航運股份有限公司,TWSE,81.67,0.2787,0.641,-0.1823,9,0
2025-03-07,2812,台中商業銀行股份有限公司,TWSE,18.81,0.2436,0.183,0.0,10,0
