pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-06-26,2243,宏旭控股股份有限公司,TWSE,53.0,3.0638,0.402,-0.045,1
2026-06-26,5464,霖宏科技股份有限公司,OTC,100.0,2.5863,0.499,-0.0698,2
2026-06-26,2483,百容電子股份有限公司,TWSE,55.7,2.2719,0.195,0.0,3
2026-06-26,2061,風青實業股份有限公司,OTC,62.6,2.085,0.767,-0.0993,4
2026-06-26,5328,華容股份有限公司,OTC,70.2,1.855,0.969,0.0,5
2026-06-26,6672,騰輝電子國際集團股份有限公司,TWSE,292.0,1.8444,0.78,0.0,6
2026-06-26,4707,磐亞股份有限公司,OTC,27.55,1.8104,0.483,0.0,7
2026-06-26,3093,台灣港建股份有限公司,OTC,69.91,1.7607,0.675,-0.0608,8
2026-06-26,6226,光鼎電子股份有限公司,TWSE,18.25,1.7474,0.353,0.0,9
2026-06-26,5011,久陽精密股份有限公司,OTC,25.7,1.6695,0.48,-0.0096,10
2026-06-26,6259,百徽股份有限公司,OTC,41.95,1.6388,0.452,0.0,11
2026-06-26,1714,和桐化學股份有限公司,TWSE,18.55,1.5681,0.254,-0.0885,12
2026-06-26,6127,九豪精密陶瓷股份有限公司,OTC,91.4,1.5241,0.889,-0.0235,13
2026-06-26,6446,藥華醫藥股份有限公司,TWSE,1155.0,1.4068,0.497,-0.0335,14
2026-06-26,2493,揚博科技股份有限公司,TWSE,272.0,1.3922,0.995,-0.0572,15
2026-06-26,6197,佳必琪國際股份有限公司,TWSE,356.76,1.2156,0.941,-0.0254,16
2026-06-26,3028,增你強股份有限公司,TWSE,80.9,1.029,0.792,-0.0194,17
2026-06-26,6270,倍微科技股份有限公司,OTC,41.66,1.0005,0.637,0.0,18
2026-06-26,5489,彩富電子股份有限公司,OTC,62.5,0.7836,0.208,-0.0782,19
2026-06-26,2066,世德工業股份有限公司,OTC,73.0,0.7483,0.122,-0.0067,20
2026-06-26,7777,能率亞洲資本股份有限公司,OTC,42.0,0.7078,0.863,-0.0541,21
2026-06-26,8071,能率網通股份有限公司,OTC,29.85,0.6826,0.552,-0.0308,22
2026-06-26,3284,太普高精密影像股份有限公司,OTC,29.35,0.6474,0.199,0.0,23
2026-06-26,2347,聯強國際股份有限公司,TWSE,92.8,0.6347,0.38,-0.0232,24
2026-06-26,5536,聖暉工程科技股份有限公司,OTC,1291.77,0.6192,0.713,-0.0333,25
2026-06-26,3516,亞帝歐光電股份有限公司,OTC,27.6,0.5879,0.224,-0.0143,26
2026-06-26,4716,大立高分子工業股份有限公司,OTC,23.6,0.5417,0.324,-0.0248,27
2026-06-26,8476,台境企業股份有限公司,TWSE,23.61,0.5056,0.2,-0.0384,28
2026-06-26,3479,安勤科技股份有限公司,OTC,138.0,0.4714,0.469,-0.0104,29
2026-06-26,1776,展宇科技材料股份有限公司,TWSE,19.85,0.4241,0.26,-0.005,30
2026-06-26,6101,寬魚國際股份有限公司,OTC,47.75,0.421,0.151,0.0,31
2026-06-26,3360,尚立股份有限公司,OTC,19.1,0.3614,0.649,-0.0861,32
2026-06-26,1312,國喬石油化學股份有限公司,TWSE,14.0,0.3591,0.192,-0.0572,33
2026-06-26,5230,雷笛克光學股份有限公司,OTC,24.0,0.335,0.334,0.0,34
2026-06-26,4169,泰宗生物科技股份有限公司,TWSE,192.0,0.3333,0.07,-0.2017,35
2026-06-26,2415,錩新科技股份有限公司,TWSE,34.55,0.3202,0.347,0.0,36
2026-06-26,7631,聚賢研發股份有限公司,TWSE,162.4,0.2682,0.32,0.0,37
