pick_date,code,name,market,close,alpha120,beta120,d240h,rank,regime
2025-10-03,2369,菱生精密工業股份有限公司,TWSE,20.3,0.3943,0.766,-0.0688,6,1
2025-10-03,8404,百和興業股份有限公司(開曼),TWSE,26.25,0.3778,0.616,-0.2066,7,1
2025-10-03,2801,彰化商業銀行股份有限公司,TWSE,20.15,0.3474,0.174,0.0,8,1
2025-10-03,1733,五鼎生物技術股份有限公司,TWSE,34.34,0.2874,0.395,-0.0231,9,1
2025-10-03,2838,聯邦商業銀行股份有限公司,TWSE,18.45,0.2869,0.235,0.0,10,1
