pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-05-22,8291,尚茂電子材料股份有限公司,OTC,91.1,3.7204,0.053,0.0,1
2026-05-22,2426,鼎元光電科技股份有限公司,TWSE,83.1,3.0658,0.861,0.0,2
2026-05-22,6831,邁&#33834;科技股份有限公司,TWSE,786.0,2.9593,0.747,0.0,3
2026-05-22,2485,兆赫電子股份有限公司,TWSE,73.0,2.8597,0.494,-0.1043,4
2026-05-22,6924,榮惠集團(開曼)股份有限公司,TWSE,161.68,2.304,0.055,0.0,5
2026-05-22,3576,聯合再生能源股份有限公司,TWSE,18.25,2.1583,0.472,-0.3165,6
2026-05-22,2489,瑞軒科技股份有限公司,TWSE,50.09,2.086,0.854,0.0,7
2026-05-22,3498,陽程科技股份有限公司,OTC,160.0,1.7465,0.996,0.0,8
2026-05-22,2367,燿華電子股份有限公司,TWSE,66.8,1.7272,0.727,-0.1458,9
2026-05-22,1595,川寶科技股份有限公司,OTC,98.1,1.7215,0.516,-0.001,10
2026-05-22,5291,邑昇實業股份有限公司,OTC,76.9,1.7119,0.897,-0.0241,11
2026-05-22,5464,霖宏科技股份有限公司,OTC,71.0,1.6961,0.427,-0.007,12
2026-05-22,6208,日揚科技股份有限公司,OTC,97.11,1.6644,0.32,-0.0526,13
2026-05-22,6415,矽力杰股份有限公司,TWSE,562.0,1.5568,0.988,0.0,14
2026-05-22,5228,鈺鎧科技股份有限公司,OTC,51.6,1.5427,0.815,-0.0171,15
2026-05-22,3577,泓格科技股份有限公司,OTC,145.5,1.5115,0.476,0.0,16
2026-05-22,6834,天二科技股份有限公司,TWSE,70.1,1.442,0.736,0.0,17
2026-05-22,1727,臺灣中華化學工業股份有限公司,TWSE,101.83,1.4343,0.917,0.0,18
2026-05-22,3209,全科科技股份有限公司,TWSE,78.0,1.4326,0.504,-0.0139,19
2026-05-22,4127,天良生物科技企業股份有限公司,OTC,62.9,1.3907,0.209,0.0,20
2026-05-22,7709,榮田精機股份有限公司,OTC,89.45,1.3723,0.619,-0.0248,21
2026-05-22,3090,日電貿股份有限公司,TWSE,211.73,1.37,0.848,0.0,22
2026-05-22,2303,聯華電子股份有限公司,TWSE,112.08,1.3359,0.837,-0.0172,23
2026-05-22,8091,翔名科技股份有限公司,OTC,262.52,1.3164,0.55,0.0,24
2026-05-22,2472,立隆電子工業股份有限公司,TWSE,260.0,1.2634,0.936,-0.0226,25
2026-05-22,2911,麗嬰房股份有限公司,TWSE,8.69,1.2385,0.198,0.0,26
2026-05-22,2484,希華晶體科技股份有限公司,TWSE,49.3,1.234,0.936,0.0,27
2026-05-22,6152,百一電子股份有限公司,TWSE,16.1,1.2311,0.442,-0.2698,28
2026-05-22,6278,台灣表面黏著科技股份有限公司,TWSE,245.0,1.2309,0.85,0.0,29
2026-05-22,3036,文曄科技股份有限公司,TWSE,280.98,1.2084,0.559,-0.0086,30
2026-05-22,6902,走著瞧股份有限公司,TWSE,129.5,1.1668,0.036,-0.0077,31
2026-05-22,6224,聚鼎科技股份有限公司,TWSE,86.1,1.1122,0.556,-0.0249,32
2026-05-22,2355,敬鵬工業股份有限公司,TWSE,65.2,1.0826,0.722,0.0,33
2026-05-22,3055,蔚華科技股份有限公司,TWSE,118.0,1.0591,0.643,-0.0484,34
