pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-07-03,2243,宏旭控股股份有限公司,TWSE,65.9,3.4827,0.448,0.0,1
2026-07-03,2484,希華晶體科技股份有限公司,TWSE,96.4,2.8211,0.768,0.0,2
2026-07-03,2483,百容電子股份有限公司,TWSE,67.1,2.6803,0.171,0.0,3
2026-07-03,5464,霖宏科技股份有限公司,OTC,102.5,2.6752,0.533,-0.0465,4
2026-07-03,4556,旭然國際股份有限公司,OTC,88.6,2.515,0.54,0.0,5
2026-07-03,2061,風青實業股份有限公司,OTC,74.2,2.3223,0.781,0.0,6
2026-07-03,6226,光鼎電子股份有限公司,TWSE,24.0,2.2954,0.441,-0.0994,7
2026-07-03,4707,磐亞股份有限公司,OTC,33.8,2.2578,0.413,0.0,8
2026-07-03,1714,和桐化學股份有限公司,TWSE,22.75,2.0692,0.239,0.0,9
2026-07-03,6672,騰輝電子國際集團股份有限公司,TWSE,315.0,2.0608,0.762,0.0,10
2026-07-03,8261,富鼎先進電子股份有限公司,TWSE,320.0,1.955,0.862,-0.0214,11
2026-07-03,6174,安碁科技股份有限公司,OTC,61.8,1.9493,0.605,0.0,12
2026-07-03,6949,沛爾生技醫藥股份有限公司,TWSE,916.0,1.9143,0.329,0.0,13
2026-07-03,6831,邁&#33834;科技股份有限公司,TWSE,923.0,1.9032,0.699,-0.0345,14
2026-07-03,6446,藥華醫藥股份有限公司,TWSE,1395.0,1.8559,0.524,0.0,15
2026-07-03,2305,全友電腦股份有限公司,TWSE,38.8,1.8553,0.997,-0.0026,16
2026-07-03,8091,翔名科技股份有限公司,OTC,293.5,1.5214,0.707,0.0,17
2026-07-03,2302,麗正國際科技股份有限公司,TWSE,52.0,1.5137,0.929,-0.0614,18
2026-07-03,2481,強茂股份有限公司,TWSE,207.0,1.5028,0.77,-0.0304,19
2026-07-03,6259,百徽股份有限公司,OTC,40.05,1.4917,0.435,-0.0453,20
2026-07-03,6525,捷敏股份有限公司,TWSE,183.0,1.3851,0.676,0.0,21
2026-07-03,7730,暉盛科技股份有限公司,TWSE,191.5,1.3591,0.11,-0.1674,22
2026-07-03,8182,加高電子股份有限公司,OTC,59.0,1.2839,0.695,0.0,23
2026-07-03,1447,力鵬企業股份有限公司,TWSE,9.99,1.145,0.256,0.0,24
2026-07-03,3131,弘塑科技股份有限公司,OTC,3785.0,1.1412,0.951,-0.0307,25
2026-07-03,3066,李洲科技股份有限公司,OTC,26.5,1.1123,0.503,0.0,26
2026-07-03,1785,光洋應用材料科技股份有限公司,OTC,156.0,1.0679,0.976,-0.1568,27
2026-07-03,2434,統懋半導體股份有限公司,TWSE,57.7,0.9636,0.477,0.0,28
2026-07-03,6829,千附精密股份有限公司,OTC,229.58,0.9477,0.875,-0.1601,29
2026-07-03,1326,台灣化學纖維股份有限公司,TWSE,68.0,0.9368,0.814,0.0,30
2026-07-03,1444,力麗企業股份有限公司,TWSE,9.95,0.8671,0.244,-0.005,31
2026-07-03,9960,邁達康網路事業股份有限公司,OTC,33.65,0.856,0.159,-0.0494,32
2026-07-03,6573,虹揚發展科技股份有限公司,TWSE,25.1,0.8281,0.482,0.0,33
2026-07-03,3088,艾訊股份有限公司,OTC,146.5,0.8096,0.609,0.0,34
2026-07-03,1710,東聯化學股份有限公司,TWSE,18.85,0.8038,0.228,0.0,35
2026-07-03,8071,能率網通股份有限公司,OTC,32.55,0.7928,0.602,-0.037,36
2026-07-03,3055,蔚華科技股份有限公司,TWSE,152.5,0.7814,0.731,0.0,37
2026-07-03,6509,聚和國際股份有限公司,OTC,55.6,0.7775,0.428,0.0,38
2026-07-03,5904,寶雅國際股份有限公司,OTC,721.0,0.7714,0.326,0.0,39
2026-07-03,5489,彩富電子股份有限公司,OTC,63.1,0.7503,0.27,-0.0693,40
2026-07-03,5536,聖暉工程科技股份有限公司,OTC,1415.5,0.741,0.724,0.0,41
