pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-04-30,5386,青雲國際科技股份有限公司,OTC,379.0,3.1507,0.904,-0.1406,1
2026-04-30,6861,睿生光電股份有限公司,TWSE,325.84,2.8864,0.973,0.0,2
2026-04-30,4950,金耘國際股份有限公司,OTC,17.95,2.52,0.205,-0.3175,3
2026-04-30,3229,晟鈦股份有限公司,TWSE,40.05,2.1942,0.364,0.0,4
2026-04-30,2426,鼎元光電科技股份有限公司,TWSE,57.23,2.1736,0.723,-0.037,5
2026-04-30,4949,有成精密股份有限公司,TWSE,105.5,2.1198,0.485,0.0,6
2026-04-30,7750,新代科技股份有限公司,TWSE,2575.0,2.029,0.706,0.0,7
2026-04-30,1711,臺灣永光化學工業股份有限公司,TWSE,56.5,1.9323,0.808,-0.052,8
2026-04-30,6658,聯策科技股份有限公司,TWSE,148.55,1.6865,0.618,0.0,9
2026-04-30,6672,騰輝電子國際集團股份有限公司,TWSE,219.0,1.4776,0.83,0.0,10
2026-04-30,2243,宏旭控股股份有限公司,TWSE,27.25,1.3941,0.63,-0.0337,11
2026-04-30,6205,詮欣股份有限公司,TWSE,84.89,1.3874,0.616,-0.0567,12
2026-04-30,4582,聚恆科技股份有限公司,TWSE,37.9,1.3741,0.453,-0.1227,13
2026-04-30,6234,高僑自動化科技股份有限公司,OTC,52.8,1.3515,0.681,0.0,14
2026-04-30,8027,鈦昇科技股份有限公司,OTC,193.5,1.3155,0.689,0.0,15
2026-04-30,4919,新唐科技股份有限公司,TWSE,147.5,1.3033,0.934,-0.0422,16
2026-04-30,1595,川寶科技股份有限公司,OTC,72.8,1.2787,0.442,0.0,17
2026-04-30,1727,臺灣中華化學工業股份有限公司,TWSE,81.36,1.2115,0.979,-0.0204,18
2026-04-30,3593,力銘科技股份有限公司,TWSE,19.85,1.0411,0.122,-0.005,19
2026-04-30,6218,豪勉科技股份有限公司,OTC,41.15,1.02,0.897,0.0,20
2026-04-30,9960,邁達康網路事業股份有限公司,OTC,34.3,0.9802,0.113,0.0,21
2026-04-30,6829,千附精密股份有限公司,OTC,241.38,0.9776,0.918,-0.0612,22
2026-04-30,4576,大銀微系統股份有限公司,TWSE,221.2,0.9445,0.853,0.0,23
2026-04-30,3665,貿聯控股(BizLink Holding Inc.),TWSE,2770.0,0.8665,0.965,-0.0036,24
2026-04-30,1597,直得科技股份有限公司,TWSE,143.5,0.8647,0.816,0.0,25
2026-04-30,6415,矽力杰股份有限公司,TWSE,427.0,0.8523,0.99,-0.0206,26
