pick_date,code,name,market,close,alpha120,beta120,d240h,rank,regime
2026-03-20,2419,仲琦科技股份有限公司,TWSE,30.95,0.2567,0.876,-0.0937,6,1
2026-03-20,2838,聯邦商業銀行股份有限公司,TWSE,20.15,0.1729,0.225,-0.0123,7,1
2026-03-20,6120,達運精密工業股份有限公司,TWSE,13.72,0.1293,0.982,-0.0071,8,1
2026-03-20,2387,精元電腦股份有限公司,TWSE,42.1,0.0829,0.346,-0.2199,9,1
2026-03-20,1210,大成長城企業股份有限公司,TWSE,53.8,-0.0027,0.067,-0.1479,10,1
