pick_date,code,name,market,close,alpha120,beta120,d240h,rank,regime
2026-01-09,8103,瀚荃股份有限公司,TWSE,95.1,0.9871,0.952,-0.0176,6,1
2026-01-09,2369,菱生精密工業股份有限公司,TWSE,25.0,0.9347,0.505,-0.0619,7,1
2026-01-09,3025,星通資訊股份有限公司,TWSE,70.9,0.7036,0.506,0.0,8,1
2026-01-09,3576,聯合再生能源股份有限公司,TWSE,9.07,0.4615,0.437,-0.1403,9,1
2026-01-09,2605,新興航運股份有限公司,TWSE,26.82,0.4491,0.285,-0.1204,10,1
