pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-06-18,2243,宏旭控股股份有限公司,TWSE,51.7,2.882,0.487,0.0,1
2026-06-18,4542,科嶠工業股份有限公司,OTC,407.0,2.6814,0.977,0.0,2
2026-06-18,5228,鈺鎧科技股份有限公司,OTC,75.5,2.4731,0.699,-0.0092,3
2026-06-18,6207,雷科股份有限公司,OTC,165.5,2.3299,0.48,0.0,4
2026-06-18,2478,大毅科技股份有限公司,TWSE,234.0,2.2523,0.855,0.0,5
2026-06-18,4556,旭然國際股份有限公司,OTC,76.9,2.2249,0.45,0.0,6
2026-06-18,3550,聯穎科技股份有限公司,TWSE,37.25,2.2072,0.318,0.0,7
2026-06-18,5864,致和證券股份有限公司,OTC,43.66,1.7106,0.926,-0.0849,8
2026-06-18,6654,天正國際精密機械股份有限公司,OTC,217.0,1.6382,0.324,-0.0462,9
2026-06-18,8043,蜜望實企業股份有限公司,OTC,226.5,1.596,0.684,0.0,10
2026-06-18,4807,日成控股股份有限公司,TWSE,44.0,1.5868,0.442,-0.0222,11
2026-06-18,6949,沛爾生技醫藥股份有限公司,TWSE,911.0,1.5697,0.337,0.0,12
2026-06-18,1714,和桐化學股份有限公司,TWSE,20.35,1.566,0.375,0.0,13
2026-06-18,2305,全友電腦股份有限公司,TWSE,33.65,1.552,0.944,0.0,14
2026-06-18,2061,風青實業股份有限公司,OTC,52.8,1.5427,0.684,0.0,15
2026-06-18,2483,百容電子股份有限公司,TWSE,39.65,1.4334,0.296,0.0,16
2026-06-18,3093,台灣港建股份有限公司,OTC,64.0,1.4191,0.73,-0.1402,17
2026-06-18,6672,騰輝電子國際集團股份有限公司,TWSE,245.5,1.4023,0.867,0.0,18
2026-06-18,6127,九豪精密陶瓷股份有限公司,OTC,84.4,1.3979,0.883,0.0,19
2026-06-18,3149,正達國際光電股份有限公司,TWSE,95.0,1.3798,0.948,0.0,20
2026-06-18,3441,聯一光電股份有限公司,OTC,92.3,1.3581,0.578,0.0,21
