pick_date,code,name,market,close,alpha120,beta120,d240h,rev_accel,rank
2026-07-08,1903,士林紙業股份有限公司,TWSE,49.2,-0.5233,0.416,-0.2103,-0.0856,220
2026-07-08,6504,南六企業股份有限公司,TWSE,36.25,-0.5266,0.306,-0.3937,,221
2026-07-08,1736,喬山健康科技股份有限公司,TWSE,132.0,-0.5624,0.479,-0.2787,-0.0695,222
2026-07-08,1410,南洋染整股份有限公司,TWSE,26.65,-0.5668,0.089,-0.2539,0.5335,223
2026-07-08,3499,環天世通科技股份有限公司,OTC,14.8,-0.5672,0.32,-0.3068,,224
2026-07-08,6469,大樹醫藥股份有限公司,OTC,76.9,-0.5713,0.234,-0.4702,,225
2026-07-08,1615,大山電線電纜股份有限公司,TWSE,45.35,-0.5771,0.454,-0.1038,0.1555,226
2026-07-08,6461,益得生物科技股份有限公司,OTC,16.45,-0.6149,0.188,-0.3433,,227
2026-07-08,8466,美吉吉國際股份有限公司,TWSE,17.5,-0.6568,0.299,-0.3578,,228
2026-07-08,3349,寶德科技股份有限公司,OTC,23.9,-0.7084,0.207,-0.2531,,229
2026-07-08,6873,泓德能源科技股份有限公司,TWSE,89.3,-0.7171,0.597,-0.5632,,230
2026-07-08,3078,僑威科技股份有限公司,OTC,59.5,-0.7173,0.49,-0.348,,231
2026-07-08,1623,大東電業廠股份有限公司,TWSE,231.0,-0.7601,0.706,-0.2923,,232
2026-07-08,3073,天方能源科技股份有限公司,OTC,22.6,-0.7785,0.344,-0.5317,,233
2026-07-08,6212,理銘開發股份有限公司,OTC,28.75,-0.784,0.061,-0.3488,,234
2026-07-08,6945,圓祥生技股份有限公司,OTC,118.0,-0.8507,0.265,-0.4903,,235
2026-07-08,7818,溢泰實業股份有限公司,TWSE,70.0,-0.8574,0.13,-0.4355,,236
2026-07-08,1795,美時化學製藥股份有限公司,TWSE,209.5,-1.0243,0.607,-0.4229,0.7441,237
2026-07-08,8442,威宏控股股份有限公司,TWSE,46.25,-1.0832,0.32,-0.4116,,238
2026-07-08,4178,永笙生技股份有限公司,TWSE,19.25,-1.1399,0.2,-0.4184,,239
2026-07-08,1784,訊聯生物科技股份有限公司,OTC,70.3,-1.1429,0.441,-0.3913,,240
2026-07-08,6919,康霈生技股份有限公司,TWSE,104.5,-1.1494,0.653,-0.5942,,241
2026-07-08,5364,力麗觀光開發股份有限公司,OTC,8.9,-1.217,0.29,-0.5605,,242
2026-07-08,4174,台灣浩鼎生技股份有限公司,OTC,29.6,-1.408,0.306,-0.5819,,243
