pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-05-29,2377,微星科技股份有限公司,TWSE,131.0,-0.043,0.48,-0.1089,188
2026-05-29,2390,云辰電子開發股份有限公司,TWSE,10.8,-0.0462,0.405,-0.069,189
2026-05-29,3546,宇峻奧汀科技股份有限公司,OTC,78.1,-0.048,0.133,-0.1624,190
2026-05-29,1904,正隆股份有限公司,TWSE,18.63,-0.0508,0.172,-0.0663,191
2026-05-29,4167,松瑞製藥股份有限公司,OTC,19.7,-0.0543,0.262,-0.0984,192
2026-05-29,6906,現觀科技股份有限公司,TWSE,109.0,-0.0613,0.596,-0.2179,193
2026-05-29,3022,威強電工業電腦股份有限公司,TWSE,74.8,-0.0644,0.414,-0.0621,194
2026-05-29,3114,好德科技股份有限公司,OTC,31.25,-0.0666,0.445,0.0,195
2026-05-29,3346,麗清科技股份有限公司,TWSE,21.45,-0.0683,0.441,-0.1546,196
2026-05-29,1726,永記造漆工業股份有限公司,TWSE,77.7,-0.0757,0.118,-0.0013,197
2026-05-29,4532,瑞智精密股份有限公司,TWSE,23.75,-0.0768,0.213,-0.1061,198
2026-05-29,1604,聲寶股份有限公司,TWSE,23.4,-0.0815,0.094,-0.0561,199
2026-05-29,6121,新普科技股份有限公司,OTC,393.0,-0.0818,0.399,-0.0251,200
2026-05-29,6491,晶碩光學股份有限公司,TWSE,321.5,-0.0835,0.161,-0.0788,201
2026-05-29,8354,冠好科技股份有限公司,OTC,16.85,-0.0856,0.32,-0.1132,202
2026-05-29,8097,常珵科技股份有限公司,OTC,58.8,-0.086,0.049,-0.2696,203
2026-05-29,3150,鈺寶科技股份有限公司,TWSE,20.15,-0.0874,0.476,-0.1516,204
2026-05-29,2376,技嘉科技股份有限公司,TWSE,370.0,-0.0989,0.97,0.0,205
2026-05-29,2816,旺旺友聯產物保險股份有限公司,TWSE,31.15,-0.0993,0.265,0.0,206
2026-05-29,8050,廣積科技股份有限公司,OTC,59.0,-0.1041,0.572,-0.0183,207
2026-05-29,3213,茂訊電腦股份有限公司,OTC,114.97,-0.1064,0.481,-0.0615,208
2026-05-29,1444,力麗企業股份有限公司,TWSE,6.25,-0.1079,0.214,-0.1147,209
2026-05-29,3652,精聯電子股份有限公司,TWSE,35.1,-0.1096,0.497,0.0,210
2026-05-29,8472,納維康生技股份有限公司,OTC,78.1,-0.1129,0.243,-0.2667,211
2026-05-29,4912,聯德控股股份有限公司,TWSE,113.99,-0.1147,0.887,0.0,212
2026-05-29,3232,昱捷股份有限公司,OTC,23.6,-0.1158,0.074,-0.1614,213
2026-05-29,1339,昭輝實業股份有限公司,TWSE,45.6,-0.1178,0.165,-0.0544,214
2026-05-29,8277,商丞科技股份有限公司,OTC,8.61,-0.1182,0.115,-0.4766,215
2026-05-29,4153,鈺緯科技開發股份有限公司,OTC,29.74,-0.1183,0.086,-0.2425,216
2026-05-29,2453,凌群電腦股份有限公司,TWSE,61.0,-0.1238,0.464,-0.0439,217
2026-05-29,7708,全家國際餐飲股份有限公司,OTC,92.4,-0.1265,0.008,-0.0897,218
2026-05-29,5388,中磊電子股份有限公司,TWSE,86.7,-0.1284,0.356,-0.1602,219
2026-05-29,6113,亞矽科技股份有限公司,OTC,27.6,-0.1355,0.898,0.0,220
2026-05-29,5609,中菲行國際物流股份有限公司,OTC,75.5,-0.14,0.173,-0.011,221
2026-05-29,1713,國泰化工廠股份有限公司,TWSE,49.4,-0.1418,0.432,-0.0749,222
2026-05-29,8446,華研國際音樂股份有限公司,OTC,85.8,-0.1466,0.088,-0.1026,223
2026-05-29,5014,建錩實業股份有限公司,OTC,11.15,-0.147,0.339,-0.0646,224
2026-05-29,4545,銘鈺精密工業股份有限公司,TWSE,38.5,-0.1486,0.534,-0.0931,225
2026-05-29,6120,達運精密工業股份有限公司,TWSE,14.11,-0.1489,0.886,-0.059,226
2026-05-29,1527,鑽全實業股份有限公司,TWSE,33.0,-0.1495,0.159,-0.1417,227
2026-05-29,6284,佳邦科技股份有限公司,OTC,119.5,-0.1505,0.913,-0.0363,228
2026-05-29,3607,谷崧精密工業股份有限公司,TWSE,14.9,-0.1587,0.49,0.0,229
2026-05-29,6605,帝寶工業股份有限公司,TWSE,146.0,-0.1588,0.292,-0.2187,230
2026-05-29,3311,閎暉實業股份有限公司,TWSE,35.24,-0.1604,0.425,-0.1268,231
2026-05-29,8071,能率網通股份有限公司,OTC,21.3,-0.1661,0.551,-0.007,232
2026-05-29,2527,宏璟建設股份有限公司,TWSE,36.75,-0.1706,0.779,-0.0743,233
2026-05-29,4433,興采實業股份有限公司,OTC,21.25,-0.1707,0.187,-0.2561,234
2026-05-29,2206,三陽工業股份有限公司,TWSE,60.6,-0.1713,0.128,-0.0915,235
2026-05-29,1810,和成欣業股份有限公司,TWSE,19.31,-0.1719,0.474,-0.1942,236
2026-05-29,2373,震旦行股份有限公司,TWSE,54.44,-0.1761,0.205,-0.0118,237
2026-05-29,5209,新鼎系統股份有限公司,OTC,159.05,-0.1768,0.24,-0.0728,238
2026-05-29,6573,虹揚發展科技股份有限公司,TWSE,16.3,-0.177,0.378,-0.1165,239
2026-05-29,3321,同泰電子科技股份有限公司,TWSE,19.4,-0.1812,0.556,-0.1281,240
2026-05-29,3062,建漢科技股份有限公司,TWSE,30.7,-0.182,0.811,-0.0583,241
2026-05-29,6546,正基科技股份有限公司,OTC,81.63,-0.1826,0.845,-0.0611,242
2026-05-29,4580,捷流閥業股份有限公司,OTC,82.5,-0.1855,0.202,-0.146,243
2026-05-29,6606,建德工業股份有限公司,TWSE,24.87,-0.2062,0.249,-0.0336,244
2026-05-29,3380,明泰科技股份有限公司,TWSE,38.6,-0.2067,0.898,-0.071,245
2026-05-29,6412,群光電能科技股份有限公司,TWSE,97.99,-0.2082,0.51,-0.184,246
2026-05-29,8454,富邦媒體科技股份有限公司,TWSE,225.86,-0.2104,0.312,-0.1764,247
