pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-05-15,6831,邁&#33834;科技股份有限公司,TWSE,725.0,2.8422,0.713,0.0,1
2026-05-15,8291,尚茂電子材料股份有限公司,OTC,56.8,2.6873,0.052,0.0,2
2026-05-15,6419,京晨科技股份有限公司,OTC,194.5,2.327,0.883,0.0,3
2026-05-15,6924,榮惠集團(開曼)股份有限公司,TWSE,126.66,2.2314,0.054,0.0,4
2026-05-15,6727,亞泰金屬工業股份有限公司,OTC,557.0,1.692,0.972,0.0,5
2026-05-15,8027,鈦昇科技股份有限公司,OTC,247.0,1.5919,0.769,-0.0644,6
2026-05-15,3498,陽程科技股份有限公司,OTC,149.0,1.5303,0.985,0.0,7
2026-05-15,6208,日揚科技股份有限公司,OTC,97.9,1.4833,0.368,-0.045,8
2026-05-15,5228,鈺鎧科技股份有限公司,OTC,49.15,1.3552,0.888,-0.0209,9
2026-05-15,2303,聯華電子股份有限公司,TWSE,108.15,1.3397,0.811,0.0,10
2026-05-15,1727,臺灣中華化學工業股份有限公司,TWSE,87.25,1.3211,0.841,0.0,11
2026-05-15,4576,大銀微系統股份有限公司,TWSE,264.55,1.2478,0.825,0.0,12
2026-05-15,8043,蜜望實企業股份有限公司,OTC,113.0,1.2354,0.643,0.0,13
2026-05-15,3209,全科科技股份有限公司,TWSE,68.0,1.1372,0.589,0.0,14
2026-05-15,8091,翔名科技股份有限公司,OTC,233.02,1.1289,0.594,0.0,15
2026-05-15,6278,台灣表面黏著科技股份有限公司,TWSE,220.5,1.0884,0.742,-0.0243,16
2026-05-15,3028,增你強股份有限公司,TWSE,75.54,1.0632,0.945,-0.0138,17
2026-05-15,2221,大甲永和機械工業股份有限公司,OTC,48.1,1.0496,0.149,0.0,18
2026-05-15,3691,碩禾電子材料股份有限公司,OTC,152.5,0.9946,0.952,-0.0161,19
2026-05-15,8455,蓋曼群島商日本大拓股份有限公司,OTC,32.85,0.9192,0.09,0.0,20
2026-05-15,2049,上銀科技股份有限公司,TWSE,390.22,0.8797,0.637,0.0,21
2026-05-15,6532,瑞耘科技股份有限公司,OTC,105.32,0.8734,0.826,-0.0439,22
2026-05-15,6834,天二科技股份有限公司,TWSE,49.91,0.8577,0.72,0.0,23
2026-05-15,6446,藥華醫藥股份有限公司,TWSE,826.0,0.7422,0.517,0.0,24
2026-05-15,6166,凌華科技股份有限公司,TWSE,112.0,0.7271,0.874,0.0,25
2026-05-15,2464,盟立自動化股份有限公司,TWSE,126.5,0.7227,0.977,0.0,26
2026-05-15,4720,德淵企業股份有限公司,TWSE,27.05,0.7169,0.947,-0.0459,27
2026-05-15,3577,泓格科技股份有限公司,OTC,108.0,0.7107,0.568,-0.0137,28
2026-05-15,8390,金益鼎企業股份有限公司,OTC,119.5,0.6136,0.656,0.0,29
2026-05-15,3615,安可光電股份有限公司,OTC,37.25,0.603,0.745,-0.0013,30
2026-05-15,6207,雷科股份有限公司,OTC,77.2,0.5494,0.543,0.0,31
2026-05-15,8147,正淩精密工業股份有限公司,OTC,189.0,0.5389,0.865,0.0,32
2026-05-15,3090,日電貿股份有限公司,TWSE,139.84,0.5344,0.863,0.0,33
2026-05-15,3580,友威科技股份有限公司,OTC,103.63,0.5207,0.819,0.0,34
2026-05-15,3024,憶聲電子股份有限公司,TWSE,16.85,0.5193,0.5,0.0,35
2026-05-15,2423,固緯電子實業股份有限公司,TWSE,70.91,0.5009,0.444,-0.0027,36
2026-05-15,5536,聖暉工程科技股份有限公司,OTC,1014.61,0.4984,0.628,0.0,37
2026-05-15,6151,晉倫科技股份有限公司,OTC,41.45,0.4695,0.53,-0.0012,38
2026-05-15,3088,艾訊股份有限公司,OTC,131.0,0.4349,0.689,-0.0187,39
2026-05-15,3033,威健實業股份有限公司,TWSE,47.9,0.4345,0.62,0.0,40
2026-05-15,6613,朋億股份有限公司,OTC,247.36,0.4234,0.49,0.0,41
2026-05-15,3149,正達國際光電股份有限公司,TWSE,57.4,0.4194,0.82,-0.0465,42
2026-05-15,8040,九暘電子股份有限公司,OTC,84.5,0.3945,0.847,-0.0387,43
2026-05-15,2481,強茂股份有限公司,TWSE,117.5,0.3901,0.737,-0.0289,44
2026-05-15,2380,虹光精密工業股份有限公司,TWSE,23.14,0.3821,0.223,-0.0857,45
2026-05-15,3008,大立光電股份有限公司,TWSE,3445.0,0.3751,0.816,0.0,46
2026-05-15,1776,展宇科技材料股份有限公司,TWSE,18.36,0.3565,0.184,0.0,47
2026-05-15,3406,玉晶光電股份有限公司,TWSE,573.34,0.3499,0.533,0.0,48
2026-05-15,6642,富致科技股份有限公司,OTC,69.8,0.3448,0.236,0.0,49
2026-05-15,3490,單井工業股份有限公司,OTC,36.9,0.338,0.675,0.0,50
2026-05-15,6175,立敦科技股份有限公司,OTC,73.9,0.3319,0.808,0.0,51
2026-05-15,8926,台灣汽電共生股份有限公司,TWSE,59.36,0.3105,0.25,0.0,52
2026-05-15,5538,開曼東明控股股份有限公司,TWSE,34.65,0.3031,0.267,0.0,53
2026-05-15,6988,威力暘電子股份有限公司,TWSE,17.1,0.3002,0.221,-0.1857,54
