pick_date,code,name,market,close,alpha120,beta120,d240h,rank
2026-05-08,6426,統新光訊股份有限公司,TWSE,262.0,2.4631,0.695,0.0,1
2026-05-08,6831,邁&#33834;科技股份有限公司,TWSE,540.0,2.0575,0.772,-0.0374,2
2026-05-08,6658,聯策科技股份有限公司,TWSE,159.48,1.9925,0.521,-0.0153,3
2026-05-08,1595,川寶科技股份有限公司,OTC,98.2,1.8871,0.511,0.0,4
2026-05-08,1721,國慶科技股份有限公司,TWSE,28.5,1.8269,0.486,-0.05,5
2026-05-08,4741,泓瀚科技股份有限公司,OTC,61.31,1.7503,0.524,-0.0253,6
2026-05-08,8291,尚茂電子材料股份有限公司,OTC,35.4,1.6013,0.099,0.0,7
2026-05-08,6903,巨漢系統科技股份有限公司,OTC,412.81,1.5305,0.961,-0.0071,8
2026-05-08,6924,榮惠集團(開曼)股份有限公司,TWSE,90.19,1.3408,0.16,-0.0095,9
2026-05-08,8027,鈦昇科技股份有限公司,OTC,203.0,1.2484,0.695,-0.0049,10
2026-05-08,6405,悅城科技股份有限公司,TWSE,64.4,1.2042,0.94,0.0,11
2026-05-08,1780,立弘生化科技股份有限公司,OTC,30.65,1.1958,0.176,-0.0926,12
2026-05-08,3028,增你強股份有限公司,TWSE,76.6,1.1483,0.929,0.0,13
2026-05-08,7709,榮田精機股份有限公司,OTC,83.13,1.1373,0.761,-0.0464,14
2026-05-08,1597,直得科技股份有限公司,TWSE,173.0,1.1373,0.895,-0.0416,15
2026-05-08,3354,律勝科技股份有限公司,OTC,35.4,1.1073,0.906,0.0,16
2026-05-08,3709,鑫聯大投資控股股份有限公司,OTC,92.9,1.0984,0.535,0.0,17
2026-05-08,4556,旭然國際股份有限公司,OTC,42.3,1.0866,0.4,-0.0242,18
2026-05-08,5464,霖宏科技股份有限公司,OTC,52.4,1.0797,0.414,0.0,19
2026-05-08,5228,鈺鎧科技股份有限公司,OTC,39.95,1.0639,0.891,0.0,20
2026-05-08,3016,嘉晶電子股份有限公司,TWSE,116.53,0.9999,0.992,-0.0127,21
2026-05-08,6218,豪勉科技股份有限公司,OTC,39.0,0.998,0.751,-0.0522,22
2026-05-08,3702,大聯大控股股份有限公司,TWSE,113.5,0.9767,0.514,0.0,23
2026-05-08,2351,順德工業股份有限公司,TWSE,183.0,0.9611,0.881,0.0,24
2026-05-08,6261,久元電子股份有限公司,OTC,120.5,0.938,0.703,-0.0974,25
2026-05-08,2491,吉祥全球實業股份有限公司,TWSE,21.1,0.9293,0.359,-0.166,26
2026-05-08,6278,台灣表面黏著科技股份有限公司,TWSE,201.0,0.9177,0.686,0.0,27
2026-05-08,1762,中化合成生技股份有限公司,TWSE,38.75,0.9058,0.067,0.0,28
2026-05-08,1809,中國製釉股份有限公司,TWSE,36.0,0.8958,0.937,0.0,29
2026-05-08,6651,全宇昕科技股份有限公司,OTC,121.5,0.893,0.343,0.0,30
2026-05-08,2472,立隆電子工業股份有限公司,TWSE,221.5,0.8875,0.999,0.0,31
2026-05-08,5864,致和證券股份有限公司,OTC,31.06,0.8523,0.921,0.0,32
2026-05-08,2303,聯華電子股份有限公司,TWSE,89.76,0.8519,0.786,-0.0539,33
2026-05-08,6532,瑞耘科技股份有限公司,OTC,110.15,0.8148,0.853,0.0,34
2026-05-08,3095,及成企業股份有限公司,OTC,44.8,0.7649,0.275,0.0,35
2026-05-08,6574,霈方國際股份有限公司,OTC,119.0,0.7362,0.432,-0.125,36
2026-05-08,2070,精湛光學科技股份有限公司,OTC,72.2,0.7117,0.743,-0.0055,37
2026-05-08,3209,全科科技股份有限公司,TWSE,55.0,0.707,0.606,-0.0161,38
2026-05-08,3057,喬鼎資訊股份有限公司,TWSE,21.6,0.7064,0.836,-0.0962,39
2026-05-08,3526,凡甲科技股份有限公司,OTC,395.0,0.6932,0.507,0.0,40
2026-05-08,6174,安碁科技股份有限公司,OTC,40.72,0.6928,0.75,-0.0073,41
2026-05-08,6834,天二科技股份有限公司,TWSE,47.83,0.6845,0.739,0.0,42
2026-05-08,2885,元大金融控股股份有限公司,TWSE,56.5,0.6832,0.433,0.0,43
2026-05-08,6108,競國實業股份有限公司,TWSE,21.8,0.6707,0.429,-0.0992,44
2026-05-08,4707,磐亞股份有限公司,OTC,15.4,0.6682,0.441,-0.0638,45
2026-05-08,3631,晟楠科技股份有限公司,OTC,39.1,0.6681,0.463,-0.0201,46
2026-05-08,2103,台橡股份有限公司,TWSE,20.04,0.6279,0.163,-0.0752,47
2026-05-08,3228,金麗科技股份有限公司,OTC,242.0,0.6019,0.693,-0.0602,48
2026-05-08,3055,蔚華科技股份有限公司,TWSE,91.2,0.5824,0.728,0.0,49
2026-05-08,3467,台灣精材股份有限公司,OTC,72.0,0.5378,0.873,0.0,50
2026-05-08,6190,萬泰科技股份有限公司,OTC,79.9,0.5318,0.966,0.0,51
2026-05-08,6016,康和綜合證券股份有限公司,OTC,21.9,0.5079,0.69,0.0,52
2026-05-08,2108,南帝化學工業股份有限公司,TWSE,28.5,0.5069,0.249,0.0,53
2026-05-08,1590,亞德客國際集團,TWSE,1505.0,0.4873,0.672,0.0,54
2026-05-08,8162,微矽電子股份有限公司,TWSE,53.53,0.4782,0.574,-0.0267,55
2026-05-08,1460,宏遠興業股份有限公司,TWSE,7.25,0.4595,0.134,-0.0068,56
2026-05-08,4127,天良生物科技企業股份有限公司,OTC,39.8,0.442,0.08,-0.041,57
2026-05-08,2855,統一綜合證券股份有限公司,TWSE,38.38,0.4337,0.81,0.0,58
2026-05-08,3122,笙泉科技股份有限公司,OTC,40.2,0.4253,0.813,0.0,59
2026-05-08,2497,怡利電子工業股份有限公司,TWSE,60.7,0.42,0.456,-0.0098,60
2026-05-08,6139,亞翔工程股份有限公司,TWSE,714.0,0.408,0.811,-0.0493,61
2026-05-08,3162,精確實業股份有限公司,OTC,91.1,0.4054,0.628,-0.0501,62
2026-05-08,3033,威健實業股份有限公司,TWSE,43.85,0.4004,0.603,0.0,63
2026-05-08,6446,藥華醫藥股份有限公司,TWSE,724.0,0.3809,0.61,-0.0706,64
2026-05-08,2891,中國信託金融控股股份有限公司,TWSE,56.4,0.3538,0.317,-0.0018,65
